;NOMBRE;NOMBRE-VIA;TIPO DE LUGAR;DISTRITO;DISTANCIA_SEDES;name;address;DISTANCIA_BICIS;DISTANCIA TOTAL
126;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Paseo de la Florida;Paseo de la Florida nº 8;POINT (4499752.727642763 -414678.4498738055);7215.687566736421
163;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Manuel Silvela;Calle Manuel Silvela nº 20;POINT (4500753.033455082 -412095.7881978624);7276.689821382331
166;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Colombia;Calle Colombia nº 7;POINT (4503680.090409898 -409529.8371102056);7288.350411410592
15;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);San Vicente Ferrer;Calle San Vicente Ferrer nº 64;POINT (4500228.262243534 -412999.2290633588);7291.9863594265025
4;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Malasaña;Calle Manuela Malasaña nº 5;POINT (4500485.866677178 -412457.3286497012);7314.298725114395
118;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Plaza de España B;Calle Princesa nº 5;POINT (4499992.454166186 -413474.1891859116);7322.32539178593
117;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Plaza de España A;Calle Princesa nº 5;POINT (4499981.322217106 -413463.0338381871);7336.724052741818
5;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Fuencarral;Calle Fuencarral nº 108;POINT (4500482.259925677 -412397.3692885628);7347.491993634218
251;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Serrano 113;Calle Serrano nº 113B;POINT (4501878.206340224 -410617.0111451639);7388.606273812452
11;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);San Andrés;Calle San Andrés nº 18;POINT (4500307.299081996 -412569.3607219309);7415.565296565285
199;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Parque Berlín;Avenida de Concha Espina nº 34;POINT (4503049.65473769 -409720.7646285511);7416.891526701229
142;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Doctor Arce 45;Avenida del Doctor Arce nº 45;POINT (4502687.153947869 -409907.509408599);7451.87087913997
59;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Plaza de Juan Pujol;Calle Espíritu Santo nº 30;POINT (4500151.585378275 -412653.0251025294);7514.021823593425
159;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Paseo de la Castellana - Glorieta de Emilio Castelar;Paseo de la Castellana nº 43;POINT (4501260.861840132 -410968.0381237534);7573.156972664726
124;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Santa Engracia 14;Calle Santa Engracia nº 14;POINT (4500557.868123823 -411802.4516897136);7602.401380407429
200;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Rubén Darío;Glorieta Rubén Darío 2;POINT (4500993.338839858 -411226.6909641492);7603.413362160023
16;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);San Bernardo;Calle San Bernardo nº 22;POINT (4499875.802471784 -413006.0561038951);7609.594405804793
54;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Barceló;Calle Barceló nº 7;POINT (4500277.743757191 -412215.8739185985);7615.826388545017
17;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Carlos Cambronero;Plaza de Carlos Cambronero nº 2;POINT (4499897.264869608 -412596.0663845149);7766.373443302818
55;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Plaza de San Ildefonso;Plaza de San Ildefonso;POINT (4499976.390763665 -412401.1843761311);7786.631750917154
8;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Alonso Martínez;Plaza de Alonso Martínez nº 5;POINT (4500409.701881577 -411660.0450265493);7805.218355428102
149;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);María Francisca 1;Calle María Francisca nº 1;POINT (4502230.621584177 -409794.5433319392);7805.816492103467
